Att ha flugor i magen,to have butterflies in stomach (Jag hade flugor i magen innan presentationen)
Att bita i det sura äpplet,to bite the bullet (Vi måste bita i det sura äpplet och betala böterna)
Att slå två flugor i en smäll,to kill two birds with one stone (Genom att samåka slår vi två flugor i en smäll)
Att ha rent mjöl i påsen,to have a clean conscience (Han kan sova gott med rent mjöl i påsen)
Att vara ute och cykla,to be completely wrong (Du är helt ute och cyklar om den teorin)
Att hålla tummarna,to keep fingers crossed (Jag håller tummarna för din jobbintervju)
Att vara på hugget,to be on the ball (Hon är verkligen på hugget med det här projektet)
Att komma på bar gärning,to catch red-handed (Tjuven kom på bar gärning)
Att sätta käppar i hjulen,to put a spoke in the wheel (Sätt inte käppar i hjulen för våra planer)
Att ha is i magen,to keep cool under pressure (Han har is i magen under akutsituationer)
Att vara kött och blod,to be flesh and blood (Även hjältar är kött och blod)
Att slå huvudet på spiken,to hit the nail on the head (Du slog huvudet på spiken med den analysen)
Att vara i samma båt,to be in the same boat (Vi är alla i samma båt under denna kris)
Att dra sitt strå till stacken,to do one's bit (Alla måste dra sitt strå till stacken för laget)
Att ha ett finger med i spelet,to have a finger in the pie (Han har ett finger med i spelet på jobbet)
Att vara rädd om skinnet,to be afraid for one's life (Soldaterna var rädda om skinnet)
Att ta tjuren vid hornen,to take the bull by the horns (Det är dags att ta tjuren vid hornen)
Att kasta yxan i sjön,to throw in the towel (Kasta inte yxan i sjön än)
Att vara som natt och dag,to be like night and day (Tvillingarna är som natt och dag)
Att ha många strängar på sin lyra,to have many strings to one's bow (Hon har många strängar på sin lyra karriärmässigt)
Att vara ett öppet kort,to be an open book (Han är ett öppet kort om sina känslor)
Att sälja skinnet innan björnen är skjuten,to count chickens before they hatch (Sälj inte skinnet innan björnen är skjuten)
Att gå som katten kring het gröt,to beat around the bush (Sluta gå som katten kring het gröt och berätta)
Att vara på gränsen,to be on edge (Jag är på gränsen medan jag väntar på testresultaten)
Det är ingen ko på isen,there's no cow on the ice (Oroa dig inte, det är ingen ko på isen)
Att ha tomtar på loftet,to have bats in the belfry (Jag tror han har tomtar på loftet)
Att vara död och begraven,to be dead and buried (Det gamla argumentet är dött och begraven)
Att komma som en tjuv om natten,to come like a thief in the night (Stormen kom som en tjuv om natten)
Att hänga med på noterna,to keep up with the music (Försök att hänga med på noterna i diskussionen)
Att vara grön bakom öronen,to be wet behind the ears (Den nya praktikanten är fortfarande grön bakom öronen)
Att gå på en räkmacka,to go on a shrimp sandwich (VD:ns son går på en räkmacka på företaget)
Att ha skräp i skallen,to have rubbish in the skull (Vad har du för skräp i skallen?)
Att vara som tupp i korg,to be fighting like cats and dogs (Syskonen är som tupp i korg)
Att ha skit i magen,to have shit in the stomach (Jag har så skit i magen inför provet)
Att vara sjuk i huvudet,to be sick in the head (Du måste vara sjuk i huvudet för att prova det tricket)
Att ha fel ben i kors,to get up on the wrong side of bed (Någon har fel ben i kors idag)
Att vara som hund och katt,to fight like cats and dogs (De två är alltid som hund och katt)
Att ha blod på tänderna,to taste blood (Konkurrenten fick blod på tänderna efter första segern)